,0,1,2,3,4,5,6,7,8,9,10
0,41,5,8,56,1.36585365853659,6,17,0.836734693877551,23,2,1
1,661,40,16,1014,1.53403933434191,123,316,0.541223404255319,372,1,3
2,7771,419,18,14471,1.86217989962682,1826,3127,0.268867924528302,4143,0,5
3,496,31,16,983,1.98185483870968,113,196,0.584437086092715,204,0,6
4,16,2,8,32,2,3,6,0.91304347826087,10,0,6
5,1312,52,25,2257,1.7202743902439,279,556,0.372715404699739,706,0,5
6,1635,74,22,3076,1.88134556574924,391,690,0.339125855713533,908,0,6
7,1616,50,32,3208,1.98514851485149,410,697,0.503949447077409,550,0,6
8,460,21,21,830,1.80434782608696,95,161,0.517307692307692,242,0,5
9,895,45,19,1531,1.71061452513966,176,370,0.514763779527559,603,0,5
10,870,36,24,1559,1.79195402298851,207,306,0.448704663212435,425,0,5
11,1077,33,32,2086,1.93686165273909,292,425,0.468343451864701,565,0,6
12,2945,227,12,4187,1.42173174872666,284,1098,0.300794551645857,1676,2,2
13,375,12,31,884,2.35733333333333,135,176,0.587378640776699,176,0,6
14,98,6,16,168,1.71428571428571,20,29,0.660714285714286,49,1,4
15,1802,30,60,2831,1.57103218645949,290,885,0.222330570453437,1227,0,6
16,1139,51,22,1994,1.75065847234416,248,431,0.455183164458301,615,0,5
17,1015,175,5,1497,1.47487684729064,183,308,0.222637979420019,332,2,2
18,899,25,35,1577,1.75417130144605,191,346,0.456630109670987,484,0,6
19,689,41,16,999,1.44992743105951,66,265,0.449612403100775,392,2,2
20,1588,81,19,2496,1.57178841309824,209,658,0.344316309719934,944,1,4
21,415,8,51,754,1.81686746987952,111,145,0.539823008849557,197,0,6
22,1252,48,26,2523,2.01517571884984,336,591,0.377440347071583,709,0,6
23,767,16,47,1494,1.94784876140808,202,294,0.438657407407407,420,0,6
24,335,16,20,611,1.82388059701493,81,121,0.60377358490566,189,0,5
25,397,13,30,669,1.68513853904282,89,165,0.545871559633028,236,0,5
26,542,15,36,967,1.78413284132841,105,179,0.403716216216216,278,0,6
27,626,20,31,1214,1.93929712460064,168,278,0.451612903225806,334,0,6
28,825,20,41,1641,1.98909090909091,223,289,0.390266299357208,436,0,6
29,620,16,38,1231,1.98548387096774,182,251,0.564444444444444,371,0,6
30,979,11,89,2142,2.1879468845761,301,382,0.492107706592386,519,0,6
31,618,21,29,1166,1.88673139158576,158,209,0.531157270029674,330,0,6
32,1117,70,15,1726,1.54521038495971,175,448,0.409235668789809,589,1,3
33,192,17,11,413,2.15104166666667,55,83,0.701357466063348,67,0,6
34,98,6,16,164,1.6734693877551,20,29,0.660714285714286,49,1,4
35,6963,572,12,11227,1.61237972138446,1148,2306,0.233914879431048,3493,1,3
36,735,47,15,1167,1.58775510204082,137,260,0.364665911664779,431,1,3
37,98,6,16,168,1.71428571428571,20,29,0.660714285714286,49,1,4
38,265,10,26,449,1.69433962264151,57,107,0.643097643097643,156,0,5
39,4031,128,31,5534,1.37286033242372,558,1395,0.503376170768896,856,1,3
